"Mahonia microphylla","Mahonia napaulensis","Mahonia bealei","Mahonia longibracteata","Mahonia decipiens","Mahonia japonica","Mahonia shenii","Mahonia cardiophylla","Mahonia bodinieri","Mahonia oiwakensis","Mahonia nitens","Mahonia bracteolata","Mahonia breviracema","Mahonia imbricata","Mahonia subimbricata","Mahonia sheridaniana","Mahonia philippinensis","Mahonia monyulensis","Mahonia polyodonta","Mahonia calamicaulis subsp. kingdon-wardiana","Mahonia gracilipes","Mahonia leptodonta","Mahonia duclouxiana","Mahonia taronensis","Mahonia paucijuga","Mahonia fordii","Mahonia hancockiana","Mahonia fortunei","Mahonia eurybracteata subsp. ganpinensis","Mahonia setosa","Mahonia nervosa","Mahonia retinervis","Mahonia conferta","Mahonia chochoco","Mahonia dictyota","Mahonia alpina","Mahonia volcania","Mahonia repens","Mahonia pumila","Mahonia gracilis","Mahonia lanceolata","Mahonia pallida","Mahonia hartwegii","Mahonia aquifolium","Mahonia pinnata","Mahonia moranensis"
0,2,8.8,1.9,1.1,8.2,0.9,1.8,2.8,2.8,2.7,2.7,2.6,2.9,2.9,3.3,3,3.6,2.5,3.5,1.9,1.2,1.2,1.2,1.4,1.4,1.5,1.4,1.1,1.1,2.5,1.2,3.5,0,3.5,3.27,1,1.7,4.5,3.8,1.2,1,0.9,4.4,7,3.3
0,3.5,11,3.1,2.2,9.9,2.2,3,3.2,3.4,3,3.1,2.7,3.6,3.6,4.9,3.2,2.4,5.1,5.1,3.9,1.2,2,2.4,2.1,1.9,2.5,2.4,1.5,1.1,3.7,1.5,3.4,0,5.4,3.42,1.5,1.5,4.7,4.6,1.3,1.1,0.6,4.4,7.1,3.6
0,1.8,7.9,1.6,1,7.3,0.8,1.7,2.7,2.7,2.6,2.5,2.4,2.9,2.9,3.2,2.8,3.3,2.2,3.2,1.7,1.1,1.1,1.2,1.3,1.3,1.4,1.3,1,1,2.1,1.1,3.1,0,3.1,3.12,1,1.5,4.1,3.6,1.1,0.9,0.8,4.1,6.6,3.1
0,1.7,7.6,1.5,0.8,3.1,0.9,1.4,2.2,1.7,1.7,1.7,1.5,2,2.2,2.2,1.9,2.9,1.9,2.1,1.1,0.5,0.6,1.2,1.2,1,1,1,0.8,0.8,1.5,1.1,1.5,0,3.1,2.62,1.1,1.5,3.7,2.1,1.7,0.2,0.2,2.1,3.7,3.8
0,1.2,5.1,1.3,1.3,5.2,1.6,1.7,2.7,2.2,2.2,2.2,1.7,2.6,2.7,2.7,2.2,3.2,2.2,2.6,1.6,0.8,0.8,1.8,1.8,1.2,1.3,1.3,1.3,1.3,2.2,1.3,2.2,0,3.3,4.05,1.3,2.2,4.2,3.1,2.2,0.4,0.4,3.1,4.2,4.3
0,2.4,7.5,1.8,0.6,4.6,0.4,1.3,2,2,2,2,2,2.6,2.6,2.1,2.3,2.3,3,3,2,0.7,0.7,0.9,0.9,0.9,1.3,0.7,0.6,0.6,1,0.9,2,0,2,1.92,0.8,1,3.5,2.5,0.6,0.6,0.1,3.2,4.3,3.1
0,1.9,8.2,1.7,1,7.6,0.8,1.7,2.3,1.8,1.8,2.6,2.4,2.9,2.9,2.3,2,3,2.3,2.2,1.7,0.5,0.6,1.4,1.3,1,1.4,1.3,1,1,2.2,1.1,3.2,0,3.2,3.17,1,1.6,4.2,3.6,1.1,0.9,0.8,4.2,6.7,3.1
0,1,4.3,1,1.1,4.1,1.2,1.5,2.4,2,2,2,1.6,2.3,2.5,2.5,2.1,3.1,2.1,2.3,1.3,0.6,0.7,1.5,1.5,1.1,1.2,1.2,1,1,1.8,1.2,1.8,0,3.2,3.3,1.2,1.8,4,2.6,2,0.3,0.3,2.6,4,4.1
0,2.1,8.9,1.9,1.1,8.3,1,1.8,2.8,2.8,2.7,2.7,2.6,2.9,2.9,3.3,3,3.7,2.5,3.5,1.9,0.6,0.7,1.5,1.4,1.1,1.6,1.5,1.1,1.1,2.5,1.2,3.5,0,3.5,3.28,1,1.7,4.5,3.9,1.2,1,0.9,4.4,7.1,3.3
0,1.9,8.3,1.7,1,3.6,1.1,1.4,2.3,1.9,1.9,1.9,1.6,2.1,2.4,2.4,2,3,2,2.2,1.2,0.5,0.6,1.4,1.4,1,1.1,1.1,0.9,0.9,1.7,1.1,1.7,0,3.1,2.99,1.1,1.7,3.8,2.4,1.8,0.3,0.3,2.4,3.8,4
0,2.8,8.9,2.3,0.8,6.4,0.7,1.6,2.5,2.5,2.4,2.4,2.3,2.8,2.8,3.2,2.6,3,3.8,3.8,2.7,0.9,0.9,1.1,1.1,1.1,1.8,1.1,0.8,0.8,1.7,1,2.7,0,2.7,2.5,1.1,1.3,4,3.3,0.9,0.8,0.3,3.7,5.4,3.3
0,1.2,5.5,0.8,0.5,1.4,0.4,1.1,1.8,1.4,1.4,1.4,1.4,1.5,1.9,1.9,1.7,2.7,1.7,1.7,0.7,0.2,0.4,0.8,0.8,0.8,1,0.8,0.4,0.4,1.1,0.9,2.1,0,2.1,1.49,0.9,1,3.2,1.3,1.2,0.1,0.1,3.1,5.2,2.5
