scientificName,decimalLongitude,decimalLatitude
Mahonia fortunei (Lindl.) Fedde,121.640883,31.204019
Mahonia polyodonta Fedde,115.007934,31.202945
Mahonia bealei (Fort.) Carr.,121.364627,31.195667
Mahonia fortunei (Lindl.) Fedde,121.697667,31.194087
Mahonia bealei (Fort.) Carr.,121.697667,31.194087
Mahonia fortunei (Lindl.) Fedde,121.446807,31.179016
Mahonia fortunei (Lindl.) Fedde,121.342868,31.175888
Mahonia bealei (Fort.) Carr.,121.34136,31.175676
Mahonia fortunei (Lindl.) Fedde,121.698369,31.173288
Mahonia fortunei (Lindl.) Fedde,121.570282,31.172124
Mahonia fortunei (Lindl.) Fedde,121.628887,31.171943
Mahonia fortunei (Lindl.) Fedde,121.467927,31.169666
Mahonia bealei (Fort.) Carr.,121.443868,31.152668
Mahonia fortunei (Lindl.) Fedde,121.51971,31.15099
Mahonia fortunei (Lindl.) Fedde,121.4398,31.1471
Mahonia bealei (Fort.) Carr.,121.366146,31.146705
Mahonia fortunei (Lindl.) Fedde,121.437622,31.145047
Mahonia bealei (Fort.) Carr.,121.419381,31.143262
Mahonia fortunei (Lindl.) Fedde,121.371589,31.141428
Mahonia bealei (Fortune) Carrière,121.3726,31.135
Mahonia polyodonta Fedde,109.908611,31.121152
Mahonia bealei (Fort.) Carr.,109.908611,31.121152
Mahonia fortunei (Lindl.) Fedde,121.6941894,31.11969539
Mahonia fortunei (Lindl.) Fedde,121.3302778,31.11555556
Mahonia fortunei (Lindl.) Fedde,121.3691667,31.10444444
Mahonia fortunei (Lindl.) Fedde,103.658131,31.099448
Mahonia bealei (Fort.) Carr.,103.658131,31.099448
Mahonia bealei (Fort.) Carr.,103.267,31.084
Mahonia fortunei (Lindl.) Fedde,104.196189,31.08233
Mahonia fortunei (Lindl.) Fedde,121.5047222,31.07666667
Mahonia bealei (Fort.) Carr.,121.7202104,31.05471261
Mahonia bealei (Fort.) Carr.,109.4111788,31.0546803
Mahonia fortunei (Lindl. ) Fedde,121.77446,31.049891
Mahonia fortunei (Lindl.) Fedde,121.782285,31.04841
Mahonia bealei (Fort.) Carr.,121.5902853,31.04012311
Mahonia fortunei (Lindl.) Fedde,121.4552778,31.03777778
Mahonia fortunei (Lindl.) Fedde,121.365284,31.033674
Mahonia bealei (Fort.) Carr.,121.36507,31.032501
Mahonia fortunei (Lindl.) Fedde,121.432195,31.029594
Mahonia bealei (Fort.) Carr.,121.432195,31.029594
Mahonia fortunei (Lindl.) Fedde,103.632835,31.028673
Mahonia bealei (Fort.) Carr.,103.632835,31.028673
Mahonia bealei (Fort.) Carr.,110.342405,31.021577
Mahonia decipiens Schneid.,110.342405,31.021577
Mahonia bealei (Fortune) Carrière,121.4644,31.0151
Mahonia fortunei (Lindl.) Fedde,121.886239,31.008908
Mahonia bealei (Fort.) Carr.,121.41953,31.008894
Mahonia fortunei (Lindl.) Fedde,121.6817901,31.00492861
Mahonia fortunei (Lindl.) Fedde,121.327788,30.986501
Mahonia fortunei (Lindl.) Fedde,121.867463,30.978582
Mahonia fortunei (Lindl.) Fedde,121.906944,30.97507
Mahonia fortunei (Lindl.) Fedde,121.463925,30.93873
Mahonia bealei (Fort.) Carr.,121.467355,30.938335
Mahonia bealei (Fortune) Carrière,121.5509,30.9301
Mahonia fortunei (Lindl.) Fedde,121.8294444,30.90722222
Mahonia fortunei (Lindl.) Fedde,121.382297,30.899876
Mahonia bealei (Fort.) Carr.,121.813628,30.898794
Mahonia fortunei (Lindl.) Fedde,121.815487,30.895796
Mahonia fortunei (Lindl.) Fedde,121.572173,30.89437
Mahonia fortunei (Lindl.) Fedde,121.895385,30.888908
Mahonia fortunei (Lindl.) Fedde,121.502381,30.834983
Mahonia bealei (Fort.) Carr.,121.468026,30.830643
Mahonia eurybracteata Fedde,110.940182,30.818782
Mahonia fortunei (Lindl.) Fedde,121.438148,30.805574
Mahonia fortunei (Lindl.) Fedde,105.715171,30.777901
Mahonia bealei (Fortune) Carrière,103.223375,30.777631
Mahonia fortunei (Lindl.) Fedde,104.054699,30.754344
Mahonia fortunei (Lindl.) Fedde,121.3788889,30.74638889
Mahonia bealei (Fort.) Carr.,121.314191,30.743014
