scientificName,decimalLatitude,decimalLongitude
Berberis lanceolata Benth.,19.1,-97.066667
Berberis lanceolata Benth.,19.42,-97.008333
Berberis lanceolata Benth.,18.167,-97
Berberis lanceolata Benth.,19.6825,-96.919722
Berberis lanceolata Benth.,19.688889,-96.910833
Berberis lanceolata Benth.,18.069417,-96.8805
Berberis lanceolata Benth.,19.61667,-96.87528
Berberis lanceolata Benth.,19.616667,-96.875278
Berberis lanceolata Benth.,19.705556,-96.870278
Berberis lanceolata Benth.,19.679167,-96.856944
Berberis lanceolata Benth.,19.683333,-96.852778
Berberis lanceolata Benth.,19.686111,-96.851667
Berberis lanceolata Benth.,19.733056,-96.851667
Berberis lanceolata Benth.,19.684444,-96.851667
Berberis lanceolata Benth.,19.723611,-96.833889
Berberis lanceolata Benth.,19.741389,-96.818611
Berberis lanceolata Benth.,19.70561509,-96.80144523
Berberis lanceolata Benth.,19.705,-96.801389
Berberis lanceolata Benth.,19.7525,-96.788333
Berberis lanceolata Benth.,19.725556,-96.780278
Berberis lanceolata Benth.,19.783333,-96.751667
Berberis lanceolata Benth.,19.75,-96.7
Berberis lanceolata Benth.,19.3333,-96.6667
Mahonia lanceolata (Benth.) Fedde,17.58,-96.52
Berberis lanceolata Benth.,16.2,-96.517
Berberis lanceolata Benth.,17.4471111,-96.50365306
Berberis lanceolata Benth.,17.36667,-96.5
Berberis lanceolata Benth.,17.538611,-96.479722
Berberis lanceolata Benth.,17.326111,-96.43
Berberis lanceolata Benth.,17.641944,-96.402222
Berberis lanceolata Benth.,16.004,-96.12744
Berberis lanceolata Benth.,16.667,-94.283
Mahonia lanceolata (Benth.) Fedde,16.846389,-92.675833
Berberis pallida Hartw. ex Benth.,20.878442,-99.210822
Berberis pallida Hartw. ex Benth.,17.43639,-97.04083
Berberis pallida Hartw. ex Benth.,17.45,-97.93333
Berberis pallida Hartw. ex Benth.,20.3,-98.73333
Berberis pallida Hartw. ex Benth.,17.95,-97.883
Berberis pallida Hartw. ex Benth.,17.867,-97.117
Berberis pallida Hartw. ex Benth.,17.833,-97.117
Berberis pallida Hartw. ex Benth.,18.11667,-97.31667
Berberis pallida Hartw. ex Benth.,16.84428,-97.586
Berberis pallida Hartw. ex Benth.,17.73333,-97.93333
Berberis pallida Hartw. ex Benth.,17.64389,-97.1472
Berberis pallida Hartw. ex Benth.,18.11667,-97.3
Berberis pallida Hartw. ex Benth.,18.03333,-97.26667
Berberis pallida Hartw. ex Benth.,17.44678,-97.95119
Berberis pallida Hartw. ex Benth.,17.7301,-97.9444
Berberis pallida Hartw. ex Benth.,21.212089,-99.682617
Berberis pallida Hartw. ex Benth.,20.303611,-98.788889
Berberis pallida Hartw. ex Benth.,21.266667,-99.85
Berberis pallida Hartw. ex Benth.,21.307778,-99.186667
Berberis pallida Hartw. ex Benth.,21.197222,-99.692222
Berberis pallida Hartw. ex Benth.,21.413611,-99.7425
Berberis pallida Hartw. ex Benth.,21.12675,-99.536389
Berberis pallida Hartw. ex Benth.,21.33605,-99.62308
Berberis pallida Hartw. ex Benth.,21.091111,-99.710778
Berberis pallida Hartw. ex Benth.,20.900833,-99.531111
Berberis pallida Hartw. ex Benth.,20.807222,-99.26
Berberis pallida Hartw. ex Benth.,21.134167,-99.625278
Berberis pallida Hartw. ex Benth.,21.10146,-99.70178
Berberis pallida Hartw. ex Benth.,21.315194,-99.213611
Berberis pallida Hartw. ex Benth.,21.125,-99.625555
Berberis pallida Hartw. ex Benth.,21.31343,-99.64494
Berberis pallida Hartw. ex Benth.,20.967222,-99.485555
Berberis pallida Hartw. ex Benth.,21.15286,-99.60615
Berberis pallida Hartw. ex Benth.,21.260556,-99.119444
Berberis pallida Hartw. ex Benth.,17.73,-97.944444
Mahonia pallida (Hartw. ex Benth.) Fedde,21.866667,-99.533333
Berberis pallida Hartw. ex Benth.,20.9025,-99.217222
Berberis pallida Hartw. ex Benth.,21.267778,-99.718333
Berberis pallida Hartw. ex Benth.,23.228333,-99.222778
Berberis pallida Hartw. ex Benth.,17.955278,-97.869167
Berberis pallida Hartw. ex Benth.,20.472222,-99.2025
Berberis pallida Hartw. ex Benth.,16.245278,-96.528056
Berberis pallida Hartw. ex Benth.,21.229444,-99.185
Berberis pallida Hartw. ex Benth.,17.785,-97.055278
Berberis pallida Hartw. ex Benth.,18.55325,-97.632722
Berberis pallida Hartw. ex Benth.,17.556111,-96.946111
Berberis pallida Hartw. ex Benth.,17.641111,-97.128889
Berberis pallida Hartw. ex Benth.,17.694722,-97.094167
Berberis pallida Hartw. ex Benth.,21.249444,-99.113333
Berberis pallida Hartw. ex Benth.,21.143889,-99.620833
Berberis pallida Hartw. ex Benth.,17.570278,-96.958611
Berberis pallida Hartw. ex Benth.,18.677778,-97.359722
Berberis pallida Hartw. ex Benth.,17.663056,-97.955278
Berberis pallida Hartw. ex Benth.,17.915278,-97.833333
Mahonia pallida (Hartw. ex Benth.) Fedde,17.95,-97.86666
Mahonia pallida (Hartw. ex Benth.) Fedde,18.18,-97.45
Berberis pallida Hartw. ex Benth.,20.4837,-98.85757
Berberis pallida Hartw. ex Benth.,20.286944,-98.668056
Mahonia pallida (Hartw. ex Benth.) Fedde,20.916667,-99.233333
Mahonia pallida (Hartw. ex Benth.) Fedde,20.833333,-99.2
Mahonia pallida (Hartw. ex Benth.) Fedde,20.916667,-99.2
Berberis gracilis Hartw. ex Benth.,17.681667,-97.552222
Berberis gracilis var. madrensis Marroq.,17.915278,-97.833333
Berberis gracilis var. madrensis Marroq.,17.95922,-97.868732
Berberis gracilis Hartw. ex Benth.,18.14961,-96.85283
Berberis gracilis var. madrensis Marroq.,18.149611,-96.852833
Berberis gracilis var. madrensis Marroq.,18.149722,-96.852778
Berberis gracilis var. madrensis Marroq.,18.204722,-96.845833
Berberis gracilis Hartw. ex Benth.,19.259722,-103.249444
Berberis gracilis var. madrensis Marroq.,19.30255,-104.035117
Berberis gracilis Hartw. ex Benth.,19.3333,-96.6667
Mahonia gracilis (Hartw. ex Benth.) Fedde,20.233333,-98.533333
Berberis gracilis Hartw. ex Benth.,20.32417,-98.21222
Berberis gracilis var. madrensis Marroq.,20.343333,-102.03
Berberis gracilis Hartw. ex Benth.,20.343889,-98.713333
Berberis gracilis Hartw. ex Benth.,20.354722,-98.71
Berberis gracilis Hartw. ex Benth.,20.440833,-101.764722
Berberis gracilis Hartw. ex Benth.,20.481944,-98.584444
Berberis gracilis Hartw. ex Benth.,20.5,-98.483
Mahonia gracilis (Hartw. ex Benth.) Fedde,20.5,-98.48
Berberis gracilis Hartw. ex Benth.,20.505278,-98.514444
Berberis gracilis Hartw. ex Benth.,20.511667,-98.483333
Berberis gracilis Hartw. ex Benth.,20.632778,-99.083056
Berberis gracilis Hartw. ex Benth.,20.635,-99.09
Berberis gracilis Hartw. ex Benth.,20.643056,-98.661111
Berberis gracilis Hartw. ex Benth.,20.661389,-99.135833
