Mahonia microphylla,Mahonia napaulensis,Mahonia bealei,Mahonia longibracteata,Mahonia decipiens,Mahonia japonica,Mahonia shenii,Mahonia cardiophylla,Mahonia bodinieri,Mahonia oiwakensis,Mahonia nitens,Mahonia bracteolata,Mahonia breviracema,Mahonia imbricata,Mahonia subimbricata,Mahonia sheridaniana,Mahonia philippinensis,Mahonia monyulensis,Mahonia polyodonta,Mahonia calamicaulis subsp. kingdon-wardiana,Mahonia gracilipes,Mahonia leptodonta,Mahonia duclouxiana,Mahonia taronensis,Mahonia paucijuga,Mahonia fordii,Mahonia hancockiana,Mahonia fortunei,Mahonia eurybracteata subsp. ganpinensis,Mahonia setosa,Mahonia nervosa,Mahonia retinervis,Mahonia conferta,Mahonia chochoco,Mahonia dictyota,Mahonia alpina,Mahonia volcania,Mahonia repens,Mahonia pumila,Mahonia gracilis,Mahonia lanceolata,Mahonia pallida,Mahonia hartwegii,Mahonia aquifolium,Mahonia pinnata,Mahonia moranensis
0,3,2,4,3,3,0,3,3,3,2,3,2,2,1,1,2,2,11,7,5,47,7,16,11,4,4,8,4,14,6,5,4,0,4,3,7,7,4,4,21,9,9,12,9,8
0,5,5,7,5,5,2,5,8,5,5,5,4,5,6,4,5,2,13,8,5,59,12,16,12,9,8,8,9,18,9,9,8,0,6,4,8,9,8,7,24,9,10,11,9,9
0,5,5,7,5,5,2,7,8,5,5,5,4,5,6,4,7,2,15,8,7,62,12,16,12,9,8,8,9,17,9,9,8,0,6,4,8,9,8,7,23,9,10,11,9,9
0,3,2,4,2,2,0,2,2,2,1,2,2,2,1,1,2,3,9,5,5,31,2,9,6,2,3,5,3,8,6,3,3,0,3,2,6,6,2,2,15,7,7,10,6,7
0,4,3,5,5,4,1,4,4,4,4,5,3,3,2,2,3,3,14,9,6,64,11,20,14,9,8,8,9,19,12,11,7,0,9,5,6,7,7,8,30,13,13,16,11,11
0,4,3,5,4,4,1,4,4,4,3,4,3,3,2,2,3,3,13,8,6,58,10,20,14,5,5,10,5,18,7,6,5,0,5,4,8,8,5,6,25,11,11,14,11,9
0,5,4,6,5,5,1,4,8,5,5,5,3,5,6,4,6,3,13,8,5,55,11,15,12,8,7,8,8,17,9,9,8,0,5,4,7,9,7,7,23,9,9,11,9,8
0,3,2,4,3,3,0,3,3,3,2,3,2,2,1,1,2,2,11,7,5,46,7,16,11,4,4,8,4,14,6,5,4,0,4,3,7,7,4,4,21,9,9,12,9,8
0,5,4,6,5,5,1,4,5,5,4,4,3,5,5,4,5,2,12,8,4,52,11,15,11,8,7,7,8,16,8,8,8,0,5,4,7,9,7,6,22,9,9,11,9,8
0,4,3,5,5,5,1,5,6,6,6,6,4,5,7,2,3,4,14,9,6,63,11,19,13,9,8,8,9,19,12,11,7,0,9,5,6,7,7,8,29,13,13,16,11,11
0,4,3,4,3,3,1,3,3,3,3,4,3,3,2,2,3,2,12,8,6,52,8,18,12,5,5,9,5,16,7,6,5,0,4,3,8,8,5,5,23,10,10,13,10,8
0,5,5,7,5,5,2,5,6,6,6,6,4,5,7,5,5,3,14,9,6,63,13,17,13,9,8,9,9,18,10,10,8,0,6,4,8,9,8,8,24,10,10,12,10,9
0,5,5,5,5,5,2,5,5,5,5,5,4,5,6,4,5,2,13,8,5,59,10,18,13,8,7,7,8,18,11,10,7,0,8,5,6,7,7,8,28,13,12,15,10,10
0,4,3,5,3,3,1,3,3,3,3,4,3,3,2,2,3,3,12,8,6,53,9,18,13,5,5,9,5,16,7,6,5,0,4,3,8,8,5,5,23,10,10,13,10,8
0,3,2,4,3,3,0,3,3,3,2,3,2,2,1,1,2,3,11,6,5,41,5,13,9,3,4,7,4,12,6,4,4,0,4,3,7,7,3,4,19,9,9,12,8,8
0,6,6,5,6,5,0,5,5,5,5,2,3,3,3,5,5,2,9,5,5,45,7,11,9,7,6,5,7,11,6,6,7,0,4,3,6,8,6,3,17,7,8,9,7,7
0,4,3,5,4,4,1,4,4,4,4,5,3,3,2,2,3,5,14,9,6,64,12,22,16,6,6,11,6,20,7,7,6,0,5,4,9,9,6,7,27,12,12,15,12,9
0,4,4,6,4,4,1,6,7,4,4,4,3,4,4,3,6,4,11,7,3,44,9,13,11,8,7,7,8,14,8,8,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,4,3,5,3,3,1,3,3,3,3,4,3,3,2,2,3,2,13,8,6,55,9,17,12,8,7,7,8,18,11,10,7,0,8,4,6,7,7,8,27,12,12,15,10,10
0,5,4,6,5,5,1,7,7,5,4,4,3,5,5,4,6,2,13,7,6,56,10,14,11,8,7,7,8,15,8,8,8,0,5,4,7,9,7,6,21,9,9,11,9,8
0,4,3,4,3,3,1,3,3,3,3,4,3,3,2,2,3,2,12,8,6,54,9,19,13,5,5,9,5,16,7,6,5,0,4,3,8,8,5,5,23,10,10,13,10,8
